#,Races,Str,Dex,Con,Int,Wis,Cha,Special,Source,Notes
1,Aarakocra,,+2,,,+1,,,"EE 4, EGW 165, MOM 6",
2,Aasimar,,,,,+1,+2,,"DMG 286, MOM 7",Officially replaced by Aasimar race.
,Aasimar - Fallen,+1,,,,,+2,,"VOLO 105, EGW 168",
,Aasimar - Protector,,,,,+1,+2,,"VOLO 105, EGW 167",
,Aasimar - Scourge,,,+1,,,+2,,"VOLO 105, EGW 167",
3,Autognome,,,,,,,,UA: Traveler's of the Multiverse,
4,Bugbear,+2,+1,,,,,,"VOLO 119, EB 25, EGW 174, MOM 8",
5,Centaur,+2,,,,+1,,,"GGR 15, MOT 18, MOM 9",Adapted from UA: Centaurs and Minotaurs.
6,Changeling,___,___,___,___,___,+2,One +1's,"EB 18, WGE 60, MOM 10","Adapted from UA: Races of Eberron, UA: Eberron."
7,Chromatic Dragonborn - Black,,,,,,,,FIZ 10,Adapted from UA: Draconic Options.
,Chromatic Dragonborn - Blue,,,,,,,,FIZ 10,Adapted from UA: Draconic Options.
,Chromatic Dragonborn - Green,,,,,,,,FIZ 10,Adapted from UA: Draconic Options.
,Chromatic Dragonborn - Red,,,,,,,,FIZ 10,Adapted from UA: Draconic Options.
,Chromatic Dragonborn - White,,,,,,,,FIZ 10,Adapted from UA: Draconic Options.
8,Dhampir,,,,,,,,VGR 16,Adapted from UA: Gothic Lineages
9,Dragonborn - Black,+2,,,,,+1,,PHB 32,
,Dragonborn - Blue,+2,,,,,+1,,PHB 32,
,Dragonborn - Brass,+2,,,,,+1,,PHB 32,
,Dragonborn - Bronze,+2,,,,,+1,,PHB 32,
,Dragonborn - Copper,+2,,,,,+1,,PHB 32,
,Dragonborn - Draconblood,,,,+2,,+1,,EGW 168,
,Dragonborn - Gold,+2,,,,,+1,,PHB 32,
,Dragonborn - Green,+2,,,,,+1,,PHB 32,
,Dragonborn - Ravenite,+2,,+1,,,,,EGW 168,
,Dragonborn - Red,+2,,,,,+1,,PHB 32,
,Dragonborn - Silver,+2,,,,,+1,,PHB 32,
,Dragonborn - White,+2,,,,,+1,,PHB 32,
10,Dwarf - Gray (Duergar),+1,,+2,,,,,"SCAG 104, MTF 82, MOM 12",
,Dwarf - Hill,,,+2,,+1,,,PHB 20,
,Dwarf - Mark of Warding,,,+2,+1,,,,EB 51,
,Dwarf - Mountain,+2,,+2,,,,,PHB 20,
11,Elf - Astral,,,,,,,,UA: Traveler's of the Multiverse,
,Elf - Avariel,,+2,,,,,,UA: Elf Subraces,More than 1 year with no updates.
,Elf - Dark (Drow),,+2,,,,+1,,PHB 24,
,Elf - Eladrin,,+2,,+1,,,,"DMG 286, MOM 13",Officially replaced by Eladrin subrace.
,Elf - Eladrin - Fall,,+2,,,,+1,,MTF 62,Adapted from UA: Eladrin and Gith.
,Elf - Eladrin - Spring,,+2,,,,+1,,MTF 62,Adapted from UA: Eladrin and Gith.
,Elf - Eladrin - Summer,,+2,,,,+1,,MTF 62,Adapted from UA: Eladrin and Gith.
,Elf - Eladrin - Winter,,+2,,,,+1,,MTF 62,Adapted from UA: Eladrin and Gith.
,Elf - Grugach,+1,+2,,,,,,UA: Elf Subraces,More than 1 year with no updates.
,Elf - High (Sun/Moon),,+2,,+1,,,,PHB 23,
,Elf - High (Aereni),,+2,,+1,,,,DDB,
